timestamp,active,idle,total
1769924174,0,0,0
1769924175,0,0,0
1769924177,0,0,0
1769924178,0,0,0
1769924179,0,0,0
1769924180,0,0,0
1769924181,0,0,0
1769924183,0,0,0
1769924184,0,0,0
1769924185,0,0,0
1769924186,0,0,0
1769924187,0,0,0
1769924188,0,0,0
1769924189,0,0,0
1769924191,0,0,0
1769924192,0,0,0
1769924193,0,0,0
1769924194,0,0,0
1769924195,0,0,0
1769924196,0,0,0
1769924198,0,0,0
1769924199,0,0,0
1769924200,0,0,0
1769924201,0,0,0
1769924202,0,0,0
1769924203,0,0,0
1769924204,0,0,0
1769924205,0,0,0
1769924207,0,0,0
1769924208,0,0,0
1769924209,0,0,0
1769924210,0,0,0
1769924211,0,0,0
1769924212,0,0,0
1769924213,0,0,0
1769924215,0,0,0
1769924216,0,0,0
1769924217,0,0,0
1769924218,0,0,0
1769924219,0,0,0
1769924220,0,0,0
1769924221,0,0,0
1769924222,0,0,0
1769924224,0,0,0
1769924225,0,0,0
1769924226,0,0,0
1769924227,0,0,0
1769924228,0,0,0
1769924229,0,0,0
1769924230,0,0,0
1769924232,0,0,0
1769924233,0,0,0
1769924234,0,0,0
1769924235,0,0,0
1769924236,0,0,0
1769924237,0,0,0
1769924238,0,0,0
1769924239,0,0,0
1769924241,0,0,0
1769924242,0,0,0
1769924243,0,0,0
1769924244,0,0,0
1769924245,0,0,0
1769924246,0,0,0
1769924247,0,0,0
1769924249,0,0,0
1769924250,0,0,0
1769924251,0,0,0
1769924252,0,0,0
1769924253,0,0,0
1769924254,0,0,0
1769924255,0,0,0
1769924256,0,0,0
1769924258,0,0,0
1769924259,0,0,0
1769924260,0,0,0
1769924261,0,0,0
1769924262,0,0,0
1769924263,0,0,0
1769924265,0,0,0
1769924266,0,0,0
1769924267,0,0,0
1769924268,0,0,0
1769924269,0,0,0
1769924270,0,0,0
1769924271,0,0,0
1769924272,0,0,0
1769924274,0,0,0
1769924275,0,0,0
1769924276,0,0,0
1769924277,0,0,0
1769924278,0,0,0
1769924279,0,0,0
1769924280,0,0,0
1769924282,0,0,0
1769924283,0,0,0
1769924284,0,0,0
1769924285,0,0,0
1769924286,0,0,0
1769924287,0,0,0
1769924288,0,0,0
1769924289,0,0,0
1769924291,0,0,0
1769924292,0,0,0
1769924293,0,0,0
1769924294,0,0,0
1769924295,0,0,0
1769924296,0,0,0
1769924297,0,0,0
1769924299,0,0,0
1769924300,0,0,0
1769924301,0,0,0
1769924302,0,0,0
1769924303,0,0,0
1769924304,0,0,0
1769924305,0,0,0
1769924306,0,0,0
1769924308,0,0,0
1769924309,0,0,0
1769924310,0,0,0
1769924311,0,0,0
1769924312,0,0,0
1769924313,0,0,0
1769924314,0,0,0
1769924316,0,0,0
1769924317,0,0,0
1769924318,0,0,0
1769924319,0,0,0
1769924320,0,0,0
1769924321,0,0,0
1769924322,0,0,0
1769924323,0,0,0
1769924325,0,0,0
1769924326,0,0,0
1769924327,0,0,0
1769924328,0,0,0
1769924329,0,0,0
1769924330,0,0,0
1769924331,0,0,0
1769924333,0,0,0
1769924334,0,0,0
1769924335,0,0,0
1769924336,0,0,0
1769924337,0,0,0
1769924338,0,0,0
1769924339,0,0,0
1769924340,0,0,0
1769924342,0,0,0
1769924343,0,0,0
1769924344,0,0,0
1769924345,0,0,0
1769924346,0,0,0
1769924347,0,0,0
1769924348,0,0,0
1769924350,0,0,0
1769924351,0,0,0
1769924352,0,0,0
1769924353,0,0,0
1769924354,0,0,0
1769924355,0,0,0
1769924356,0,0,0
1769924357,0,0,0
1769924359,0,0,0
1769924360,0,0,0
1769924361,0,0,0
1769924362,0,0,0
1769924363,0,0,0
1769924364,0,0,0
1769924365,0,0,0
1769924366,0,0,0
1769924368,0,0,0
1769924369,0,0,0
1769924370,0,0,0
1769924371,0,0,0
1769924372,0,0,0
1769924373,0,0,0
1769924374,0,0,0
1769924376,0,0,0
1769924377,0,0,0
1769924378,0,0,0
1769924379,0,0,0
1769924380,0,0,0
1769924381,0,0,0
1769924382,0,0,0
1769924384,0,0,0
1769924385,0,0,0
1769924386,0,0,0
1769924387,0,0,0
1769924388,0,0,0
1769924389,0,0,0
1769924390,0,0,0
1769924391,0,0,0
1769924393,0,0,0
1769924394,0,0,0
1769924395,0,0,0
1769924396,0,0,0
1769924397,0,0,0
